,Building Information,,,,,,,,Events Information,,,,,Ordinate  Intensity Measures,,,,,,Spectral Intensity Measures ,,,,,,Building Response,,,,Building Frequency ,,Average spectral values,,,Duration of Strong Motion,,,,,,,,,,,,,,,
Network,Building ID,B_Lat.,B_Long.,Soil info.,Vs30,Height,No. of story,Typology,Event Date,E_Lat.,E_Long.,Magnitude,Epicentral distance (R),PGA,PGV,PGD,AI,DP,CAV,SA1,SV1,SD1,SA2,SV2,SD2,Drift,PTA,PTV,PTD,F1,F2,Avg_Sa,Avg_Sv,Avg_Sd,Effective,Bracketed 1 [0.05g],Uniform [0.05g],Bracketed [0.1g],Uniform [0.1g],Bracketed [0.15g],Uniform [0.15g],Bracketed [0.2g],Uniform [0.2g],Significant_a1 [(5-75)%],Significant_a2 [(5-95)%],Significant_v1 [(5-75)%],Significant_v2 [(5-95)%],Significant_d1 [(5-75)%],Significant_d2 [(5-95)%],ZX
,,[degree],[degree],Unnamed: 4_level_2,[m/s2],[cm],Unnamed: 7_level_2,Unnamed: 8_level_2,Unnamed: 9_level_2,[degree],[degree],[Mw],[km],[cm/s2],[cm/s],[cm],[cm/s],[cm*s],[cm/s],[cm/s2],[cm/s],[cm],[cm/s2],[cm/s],[cm],[cm/cm],[cm/s2],[cm/s],[cm],Hz,Hz,[cm/s2],[cm/s],[cm],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec]
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199810072158_ANX_BFE_180_1',36.0417,139.89,3.2,19.3,1.29754541200819,0.052950079372932,0.00448086489338665,0.00108513974351946,0.00000338328503609612,3.21031424798737,0.920290772541371,0.0836489107240421,0.00691450660739596,0.838947929666803,0.0841903671285819,0.00724810879101109,-0.244959721215459,1.70572879789846,0.11396975313625,0.00849792354959006,1.82249479287202,1.7021290649784,0.880241769639773,0.0839113287756415,0.00709088150824929,0,0,0,0,0,0,0,0,0,5.15,14.72,8.3,21.84,24.2,58.02,3.87202307591952
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199811071329_ANX_BFE_180_1',36.445,140.5867,3.5,57.7,0.687617297460133,0.0264354309410791,0.00147449901768379,0.000451853606500938,0.00000121770694815341,2.25131031870153,0.260627970357587,0.0415344116715463,0.00205171445372769,0.211924072422064,0.0384980020379979,0.00203029291757254,-0.246954857888447,1.46416599080428,0.0425688333447243,0.00604457887059052,1.7604804521903,1.58899542590578,0.232695071624534,0.0398909003763237,0.00201859120039141,0,0,0,0,0,0,0,0,0,5.53,17.19,10.71,29.23,36.6,54.27,4.1893079781785
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199811082140_ANX_BFE_180_1',35.6267,140.0417,4.6,56.3,3.28972722879697,0.185941095689453,0.0203910893055144,0.0390908503256474,0.000430064987602421,27.5623161318991,6.45619733344139,0.559848025119495,0.0399458883702245,5.186363110687,0.568661737742131,0.0630608415509774,-0.201010034490642,10.2141413929859,0.612731464444775,0.0473987087217254,2.00178930887945,1.42933078370327,4.72561560566512,0.470920199583902,0.0422426239299593,0,0,0,0,0,0,0,0,0,12.95,32.79,18.29,47.35,27.87,84.11,13.2445042013084
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199811091440_ANX_BFE_180_1',35.9967,140.2467,3.2,21.7,0.555111594993327,0.0263533480028326,0.00291886054152465,0.000295348263802405,0.000000860444676713251,1.75361105392055,0.443591655373201,0.0469754981811602,0.00318279667555768,0.367338805804394,0.0458341867645918,0.00313892516832262,-0.248133196520925,1.30981259662382,0.0548314480356861,0.00501846370123829,1.86139077499415,1.70894338501202,0.403177867469676,0.0463825148260071,0.00315261795923926,0,0,0,0,0,0,0,0,0,5.78,15.81,11.61,38.27,47.99,55.98,4.0671281694231
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199811161725_ANX_BFE_180_1',36.3633,141.4467,4,125.8,0.706474654806603,0.0270778925880563,0.00386733619121427,0.00126033878837527,0.0000149418248652629,4.85614500539877,0.699101256787825,0.0704410034509338,0.00432628194445621,0.575942496174801,0.0593502080551346,0.0050025928191101,-0.232574338429604,1.5068255284736,0.0846730487734499,0.0189979216459961,2.00192957067053,1.698516215166,0.646878671337922,0.0638133635166143,0.00474570084552413,0,0,0,0,0,0,0,0,0,14.14,31.39,22.26,37.68,23.42,46.96,7.6511102048433
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199811210140_ANX_BFE_180_1',36.4233,141.1933,4.4,105.5,0.900652251921892,0.0688628457337316,0.00573773362191068,0.00311918762454507,0.0000493157859216635,8.09824297379344,1.70850464236618,0.177108979635716,0.0147736217318095,1.53839292296287,0.178567461778619,0.0152433939446868,-0.23332091244539,3.04125332472626,0.235368158068821,0.020737240729528,1.68837433671008,1.57548824704783,1.6067103286129,0.179081369707628,0.0148498141628447,0,0,0,0,0,0,0,0,0,17.92,36.86,24.74,42.03,26.71,51.34,8.55582005902287
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199811211910_ANX_BFE_180_1',36.0817,139.8783,3.3,18.4,1.05778809085892,0.0286250001202036,0.00215135287673658,0.000699078768684693,0.00000101764466944263,2.5914036185636,0.356318514512232,0.0396913573203334,0.00264501659010383,0.261605358094466,0.0378712759724659,0.00256703125620052,-0.24794031218014,2.65095209923472,0.0531537672406032,0.00427330858066905,1.81726683068665,1.57652622363327,0.3045425897416,0.038490550317852,0.00259484172646244,0,0,0,0,0,0,0,0,0,9.13,19.11,10.15,27.63,46.23,59.13,5.4954984441354
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199811240448_ANX_BFE_180_1',38.0117,141.5533,5.2,246.8,2.41669529072182,0.177219158526416,0.0369040771538571,0.023155385881048,0.000758755652509222,24.0235876525542,3.96971891305244,0.313373329451584,0.0267210218828131,3.47886990267882,0.338993570269206,0.0366967591020568,-0.155465471057967,6.29801632090094,0.487222497019645,0.0552334374961157,1.93469022590025,1.54665406112805,3.72032058472307,0.327233994639656,0.0316664779148414,0,0,0,0,0,0,0,0,0,21.68,41.05,26.38,51.23,26.65,78.05,10.590500565924
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199811250236_ANX_BFE_180_1',37.0683,141.6,4.7,171.5,1.5733505562799,0.0920805237613213,0.0139901671677908,0.0080938386154852,0.000216899007236062,13.9111551622862,2.30728067276818,0.215440163689619,0.016074661674134,1.94686320201964,0.222776311113625,0.0212238871969693,-0.23283018233432,3.26370138834184,0.251305755005773,0.0295065323795268,1.87944839857651,1.50583604975645,2.03250940657116,0.206608292778233,0.0179431462414402,0,0,0,0,0,0,0,0,0,19.88,38.76,25.82,45.78,38.25,64.5,10.4168659395235
,,36.132,140.073,Sandy clay and clayey sand,200,3400,8,SRC,'199811280022_ANX_BFE_180_1',35.6583,140.0933,4.5,52.7,1.81971841108607,0.0753629042798204,0.00714041321664811,0.0090936429078074,0.0000907368977523801,12.7580049897458,2.28675247478766,0.21602137461255,0.0185837533623683,2.51620007502505,0.244193781383536,0.0226467378552347,-0.233011967349364,3.49047647519114,0.25622303864888,0.0243398465126268,1.75459255770137,1.65913529063135,2.41296635577797,0.23117348527991,0.0206929265654888,0,0,0,0,0,0,0,0,0,13.14,30.52,19.53,44.69,53.52,71.15,7.51945622003601
