,Building Information,,,,,,,,Events Information,,,,,Ordinate  Intensity Measures,,,,,,Spectral Intensity Measures ,,,,,,Building Response,,,,Building Frequency ,,Average spectral values,,,Duration of Strong Motion,,,,,,,,,,,,,,,
Network,Building ID,B_Lat.,B_Long.,Soil info.,Vs30,Height,No. of story,Typology,Event Date,E_Lat.,E_Long.,Magnitude,Epicentral distance (R),PGA,PGV,PGD,AI,DP,CAV,SA1,SV1,SD1,SA2,SV2,SD2,Drift,PTA,PTV,PTD,F1,F2,Avg_Sa,Avg_Sv,Avg_Sd,Effective,Bracketed 1 [0.05g],Uniform [0.05g],Bracketed [0.1g],Uniform [0.1g],Bracketed [0.15g],Uniform [0.15g],Bracketed [0.2g],Uniform [0.2g],Significant_a1 [(5-75)%],Significant_a2 [(5-95)%],Significant_v1 [(5-75)%],Significant_v2 [(5-95)%],Significant_d1 [(5-75)%],Significant_d2 [(5-95)%],ZX
,,[degree],[degree],Unnamed: 4_level_2,[m/s2],[cm],Unnamed: 7_level_2,Unnamed: 8_level_2,Unnamed: 9_level_2,[degree],[degree],[Mw],[km],[cm/s2],[cm/s],[cm],[cm/s],[cm*s],[cm/s],[cm/s2],[cm/s],[cm],[cm/s2],[cm/s],[cm],[cm/cm],[cm/s2],[cm/s],[cm],Hz,Hz,[cm/s2],[cm/s],[cm],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec],[sec]
,,35.8301,139.8722,,218,2980,7,SRC,'201103122314_MST_01F_258_1.',35.8967,140.94,5,96.5,2.66689771913945,0.360154231399019,0.0632714420282611,0.0453758188167294,0.000986139051489751,35.7297948267438,10.8260051648624,1.22402267397665,0.148245005423579,10.9980805829505,1.58091747209617,0.227768082958646,-0.147468297140751,7.15403962866066,0.796816779610989,0.118603331372449,1.34980553649051,1.0949120327582,12.0669670292914,1.57309561399517,0.205435827567249,0,0,0,0,0,0,0,0,0,20.19,49.68,21.46,58.1,28.57,74.5,10.9790135001518
,,35.8301,139.8722,,218,2980,7,SRC,'201103130824_MST_01F_258_1.',38.0117,141.9483,6.2,304.8,2.43221924413647,0.359058227623058,0.0982479829168496,0.0756637921839112,0.00471587825269404,65.4923550376624,7.26966753159667,0.622834329108975,0.0677680671392245,9.01704746306139,1.79051040493754,0.314542851758375,-0.176118158842041,5.50875209215913,0.637102074282445,0.111790638522874,1.6265490943756,0.844774787974023,10.0348418090103,1.42418617081561,0.208113886329801,0,0,0,0,0,0,0,0,0,60.13,111.82,82.11,121.56,99.77,134.5,49.8528306959295
,,35.8301,139.8722,,218,2980,7,SRC,'201103131026_MST_01F_258_1.',35.8267,141.9717,6.6,189.3,5.73338327322107,0.953390673992736,0.552264449606687,0.271811858456059,0.0279825757225489,149.916644338431,13.711115704483,1.00592065655462,0.100196784626682,10.0843700676807,1.84445908886854,0.376070655756968,-0.058471016965916,12.8937142631713,1.70977123668738,0.550459467253119,1.85974887467425,0.822747483202193,18.2648419377124,2.47214651031324,0.344654600569077,0,0,0,0,0,0,0,0,0,70.48,220.78,201.06,234.59,203.49,228.75,110.474085622463
,,35.8301,139.8722,,218,2980,7,SRC,'201103132037_MST_01F_258_1.',37.395,142.4333,6.1,287.3,1.7285656871626,0.29563951292152,0.0640665816820635,0.025229545797213,0.00100115656089637,35.0883665243186,3.69359467900469,0.197478514554485,0.0260495051434642,7.49099351497576,1.34350752733483,0.239714137551337,-0.199693510483272,4.31187245142297,0.517261036543977,0.0782466493281318,1.87530149541727,0.883136250510516,6.23451812048953,0.795074006342203,0.124565247199287,0,0,0,0,0,0,0,0,0,50.74,98.81,60.76,96.09,83.71,111.96,42.3531869116741
,,35.8301,139.8722,,218,2980,7,SRC,'201103140255_MST_01F_258_1.',35.2467,141.23,5.7,138.9,1.6829025106022,0.317401207148766,0.0740542476900529,0.0366779835636383,0.00234620479577847,40.3466247121305,7.57099885171713,0.823117524568862,0.100981779314267,8.95497216959077,1.22830752827192,0.185846084557878,-0.207021938507933,3.49508801095315,0.476629963654647,0.0972890962023076,1.37257252457444,1.09331720953342,7.72431883838196,0.935710225715337,0.131616063955028,0,0,0,0,0,0,0,0,0,44.64,92.58,44.68,90.61,53.37,97.21,29.3385330133595
,,35.8301,139.8722,,218,2980,7,SRC,'201103141002_MST_01F_258_1.',36.4583,141.125,6.2,132.4,8.18437367083445,1.6151443679491,0.443511217984618,0.714085724541704,0.0434526057586885,206.89756452996,27.019493981645,3.08888000158138,0.422315064814313,31.3069501983313,4.69343840301544,0.832122773833245,0.0972882414710255,14.9706287434712,2.54052764314329,0.559998041418388,1.26251137397634,0.968701241018136,31.3155733527461,4.25725511034324,0.657581004775445,0,22.05,0,0,0,0.645,0,0,0,42.92,107.06,72.99,161.68,121.65,188.21,54.1889115498792
,,35.8301,139.8722,,218,2980,7,SRC,'201103141552_MST_01F_258_1.',36.955,141.12,5.2,167.7,0.930358273735129,0.101027323967803,0.0243146920046914,0.00596008547676117,0.0000718150941687362,14.1347126652276,1.24725555976799,0.0791604955237104,0.00750243005383656,2.69757040707739,0.438108278221855,0.0690036256903247,-0.173771318281844,1.93113251438516,0.156726946379279,0.0318877966086713,2.03207911239749,0.993348933962269,2.24961877126875,0.270929577029923,0.035917308575375,0,0,0,0,0,0,0,0,0,35.35,68.94,38.97,74.02,43.95,82.62,15.0187172599481
,,35.8301,139.8722,,218,2980,7,SRC,'201103150341_MST_01F_258_1.',36.5633,141.845,5.7,194.9,2.31181731173994,0.264468712689764,0.0623665231154931,0.0377015972012649,0.00179371704174749,38.7095885649204,4.32310291986002,0.2586846553807,0.0237913647761837,7.71722198920478,1.14361548309516,0.174145784177752,-0.0321777768782622,5.55415037727142,0.581654381630619,0.0944593702193057,2.13752544673151,1.05716506113288,7.32667858455966,0.822181640260582,0.104504531832213,0,0,0,0,0,0,0,0,0,40.05,85.97,44.7,89.68,56.22,96.46,25.1818034089861
,,35.8301,139.8722,,218,2980,7,SRC,'201103150459_MST_01F_258_1.',35.53,139.8783,4.1,33.4,4.76801630755065,0.188869582594193,0.0164434286717271,0.0129239360745521,0.0000570586906305764,13.9856675942733,5.18315740872788,0.419557226408871,0.0308839602680192,2.56478024718923,0.388471526936475,0.0553029265302368,-0.186586493901043,7.38602405516938,0.566741921613825,0.0496526766229707,2.04939516129032,1.07635983263598,3.44673747559582,0.404402767749923,0.0424836172853934,0,0,0,0,0,0,0,0,0,9.3,22.73,15.69,48.8,72.22,78.62,8.44217031809102
,,35.8301,139.8722,,218,2980,7,SRC,'201103152227_MST_01F_258_1.',37.5983,142.2983,6.2,292.3,2.59760425716479,0.460678762727033,0.105780092986592,0.0383924808612934,0.00191552097446847,40.8622724270801,5.03889749954996,0.297434936034742,0.0278289196872674,6.52746910343088,0.944714467608673,0.160431405312536,-0.175695458539835,4.80242385743944,0.620045280087315,0.13940807874274,2.11555959963603,1.00512694115947,7.36808211709703,0.83825724657828,0.10574210748347,0,0,0,0,0,0,0,0,0,51.94,96.33,67.96,98.33,80.76,103.99,29.7105435019131
,,35.8301,139.8722,,218,2980,7,SRC,'201103152231_MST_01F_258_1.',35.3083,138.7133,6.4,119.8,8.55664086862437,1.4418926482926,0.473143075360431,0.660996443031077,0.0871402269943308,195.119283617896,23.3397604859931,2.59633536604707,0.35623592245614,22.9806905081098,4.28834904169497,0.721502884259955,0.0589103778587846,16.0784667049212,2.61607889463716,0.533854873420167,1.28326612903226,0.89152719665272,29.8880422252204,4.39459170505749,0.68930266415361,0,0.629999999999999,0,0,0,0.22,0,0,0,51.68,103.52,66.66,158.1,90.48,173.85,48.9860105093423
,,35.8301,139.8722,,218,2980,7,SRC,'201103160530_MST_01F_258_1.',35.2833,141.2233,5.8,136.5,1.48797331849878,0.362520740855587,0.126821315814259,0.0339201578776101,0.00227476813118685,40.4729356236708,5.49477123456582,0.572843519423147,0.0693501175782756,6.79567188562697,1.06921351598512,0.184291184771619,-0.203687109102913,3.82780520557615,0.504372295210987,0.15893609636263,1.41702846116739,0.961644578949898,5.98819301843455,0.805520768807836,0.116190420171949,0,0,0,0,0,0,0,0,0,50.35,109.77,55.5,104.69,71.41,108.85,36.9538973886519
,,35.8301,139.8722,,218,2980,7,SRC,'201103160604_MST_01F_258_1.',36.7333,140.5683,4.8,118.2,1.10143271969369,0.158968319366123,0.028862333970163,0.0069387602084575,0.000083975792841146,13.9955807149157,2.44515521775295,0.16965010488353,0.0147076997739026,3.99243791433099,0.48194767018063,0.0639889068960922,-0.205583114945261,3.1627721150794,0.344208215838377,0.0518170486079489,2.0260492040521,1.25316936624213,3.23021103401238,0.305534076420561,0.0356274562137862,0,0,0,0,0,0,0,0,0,24.98,56.56,24.91,61.95,45.94,76.55,14.187434933779
,,35.8301,139.8722,,218,2980,7,SRC,'201103161252_MST_01F_258_1.',35.8367,140.905,6.1,93.1,12.3906619317135,2.14522669033598,0.440279322207684,0.738933796917022,0.0502529903366979,186.838139392226,20.2613650217774,1.6376270876554,0.136607566817462,39.8669026637198,7.96373404084617,1.51096037724462,0.192009973803543,24.4727656750579,3.48961591932879,0.754826668190326,1.94052419354839,0.813598326359833,33.1749932532354,4.60888555246172,0.726151553808544,0,18.55,0.569999999999997,0.0299999999999976,0,1.72,0.295,0,0,29.53,97.45,42.71,154.95,97.84,187.83,33.6391171651802
,,35.8301,139.8722,,218,2980,7,SRC,'201103162239_MST_01F_258_1.',35.925,140.4333,5.4,51.6,8.2847420348046,1.02225359626325,0.13955389194352,0.213234977256353,0.00430242319167163,76.1153698019186,17.6001405092079,0.760141861761087,0.0602088067605608,30.5768797261794,3.87785005754553,0.489352671306928,0.102699742254263,20.0035064958863,2.48831945324831,0.392171346283319,2.6951464996645,1.24366840394802,22.597643937332,1.95647147324915,0.216851531184547,0,0.459999999999997,0,0,0,0.205,0,0,0,19.29,48.73,18.85,61.08,36.04,96.93,15.0213862492829
,,35.8301,139.8722,,218,2980,7,SRC,'201103172132_MST_01F_258_1.',35.63,140.9783,5.7,102.3,11.891534427484,1.60845545474412,0.319287371970395,0.391314992538068,0.0169200060381096,132.880860319548,18.1977950564187,1.43866908176432,0.148228235896049,31.4377226060043,5.20432801304507,0.801848620944187,0.012839173146367,18.2297802841777,2.66672595662811,0.468537145268967,1.75100806451613,0.988598326359833,32.3893871550791,4.11605922104696,0.55233540569815,0,2.48,0.130000000000003,0,0,0.325,0.165,0,0,29.21,104,46.36,124.53,101.14,168.76,40.4417328171992
,,35.8301,139.8722,,218,2980,7,SRC,'201103172154_MST_01F_258_1.',36.7367,141.3083,5.7,163.5,4.51158141758847,0.413814858342076,0.0787128070873299,0.0811192916580947,0.00333306074197796,58.1146294599291,10.4569149062095,1.31722383718329,0.163478447321674,8.89312696152965,1.39611129908583,0.205358214924913,-0.113751331537074,9.81268143550291,0.876875768581411,0.107587073073873,1.27231066087795,1.04335709611259,9.52182673329857,1.30270610459759,0.181760682813727,0,0,0,0,0,0,0,0,0,36.81,86.93,51.27,98.9,64.81,100.44,28.8650813002099
,,35.8301,139.8722,,218,2980,7,SRC,'201103180941_MST_01F_258_1.',35.985,141.83,5.4,177.2,1.48557085056642,0.178854199381633,0.0406326534051505,0.0116735922770587,0.000293272235780568,20.3511450079533,3.53765346978374,0.298135847006365,0.0329396434150783,4.39192047398306,0.6562030203176,0.0993037394482655,-0.212052878162133,3.99934032415866,0.394920741756252,0.0528359631008303,1.62859081655734,1.0541483589608,4.34190917418244,0.523093006008225,0.0678717790307979,0,0,0,0,0,0,0,0,0,38.18,68.71,47.28,72.74,56.24,74.26,22.2231382806284
,,35.8301,139.8722,,218,2980,7,SRC,'201103181701_MST_01F_258_1.',35.8217,141.1117,5.4,111.8,2.1352761314199,0.25288763983504,0.0489365528776898,0.0410664759280705,0.00185905278080899,38.5008619868469,5.98055712511873,0.399751351964689,0.0329465336448825,4.18221759288168,0.857393506173431,0.148388546071188,-0.188310594341188,5.68928025860665,0.615952025862581,0.0787095736737699,2.11375412152614,0.840184618191298,7.17131662278599,0.943299111862601,0.126104464474728,0,0,0,0,0,0,0,0,0,32.22,72.05,33.4,79.96,42.72,85.91,15.9138963464449
,,35.8301,139.8722,,218,2980,7,SRC,'201103190849_MST_01F_258_1.',37.7267,141.9117,5.3,278.3,1.94745891797062,0.317117454191319,0.0770040484676819,0.0204307021803152,0.00066655206489902,26.2851941352994,5.52252363778944,0.645464063738358,0.0863063721727929,5.79118577853757,1.07691302803719,0.188537479011594,-0.0242618138169982,4.03228084035797,0.552687018527102,0.0854473214741548,1.26280260707635,0.874225731501135,6.55857317355317,0.98036646573993,0.15265206660747,0,0,0,0,0,0,0,0,0,32.13,79.67,48.25,85.75,59.94,88.31,16.9538654109976
,,35.8301,139.8722,,218,2980,7,SRC,'201103191856_MST_01F_258_1.',36.7833,140.57,6.1,123.1,11.8132511026458,1.55258354585715,0.492589378050823,0.84380606546003,0.0469919233120508,193.70288087516,27.1139327961975,2.25079065581365,0.228142153020683,25.2031683626969,4.29501845612677,0.735790535472595,1.3947193269371,36.4238026162705,3.44150777158814,0.678260483819491,1.73301304049417,0.922533576137124,31.693644873307,3.96854511858115,0.559843564150178,0,27.86,14.23,0,0,1.86,0.085,0,0,28.72,71.9,45.62,134.71,109.42,155.7,32.0907653686547
,,35.8301,139.8722,,218,2980,7,SRC,'201103202348_MST_01F_258_1.',35.4283,141.2683,5.2,133.9,1.18482152263382,0.196157540021193,0.0469587302286376,0.0101718596618133,0.000268936735060169,18.3871203233476,2.55334580625308,0.137294045282046,0.0129237218048609,3.91815155118322,0.654383953832051,0.0999889334788784,-0.223030846799621,2.99764271475232,0.360387494307629,0.0632947305575419,2.21592224022217,0.990144963923769,3.93630598608989,0.441798455908984,0.0581384813890875,0,0,0,0,0,0,0,0,0,35.97,70.76,35.43,69.35,34.47,73.09,18.5661670809945
,,35.8301,139.8722,,218,2980,7,SRC,'201103221238_MST_01F_258_1.',35.2633,141.2367,5.9,138.6,5.55183961157709,1.09446295338527,0.234340183470148,0.189635738374431,0.016852053336349,104.222879453234,17.3001374497155,1.81317252823157,0.277691147132066,13.9601226148664,2.7529264980612,0.454526362609328,-0.10269712503521,9.78851875124905,1.58630250161692,0.338975057449922,1.24670342843443,0.87464357862813,18.9286521183529,2.82071102641221,0.445088793050572,0,0,0,0,0,0,0,0,0,45.49,127.53,64,152.3,126.96,170.06,42.3981696836158
,,35.8301,139.8722,,218,2980,7,SRC,'201103221618_MST_01F_258_1.',37.085,144.2467,6.7,415.3,2.34507513401909,0.419257248508036,0.118632101293727,0.0842704997663785,0.0043528150705774,73.1385086197064,9.73735795131165,0.841369612084884,0.0936268682206146,6.13097728915706,1.20658463796898,0.240232936486424,0.100875048076674,8.34869631633402,0.92098130735039,0.132747739361385,1.61290322580645,0.800728723192593,9.12290669971353,1.28840501356008,0.190697431108678,0,0,0,0,0,0,0,0,0,67.18,135.25,100.94,142.99,119.94,139.12,62.033774371594
,,35.8301,139.8722,,218,2980,7,SRC,'201103221819_MST_01F_258_1.',37.315,141.91,6.4,245.7,4.38741302479061,0.808553573030419,0.153375100529477,0.249849497070627,0.0168385977608851,130.462502453816,7.57150794576755,0.501867058654419,0.0531863472789112,20.7700717510144,3.50815122569972,0.573844915122734,0.294284035147257,8.79138693426317,1.16310117915898,0.235450774668237,1.88004032258064,0.955439330543933,16.7228891646267,2.03005141218438,0.292734329963557,0,0,0,0,0,0,0,0,0,57.38,130.13,95.59,167.34,133.35,189.98,80.0856475900534
,,35.8301,139.8722,,218,2980,7,SRC,'201103222104_MST_01F_258_1.',36.23,141.6267,5.9,163.9,3.00246362342059,0.453235689427564,0.12672340231184,0.077938098579648,0.00610383443571118,59.2391584764321,5.60953141365958,0.386225023946171,0.0425230346839963,10.7497515447933,1.69288003669346,0.286077234643228,-0.151240809313837,6.72720242558424,0.804334370784341,0.147188594264421,1.80870990400375,0.970698471784598,9.66849525321976,1.19008927107754,0.163025595583346,0,0,0,0,0,0,0,0,0,37.95,97.97,42.75,103.1,65.57,116.18,28.2256292972746
,,35.8301,139.8722,,218,2980,7,SRC,'201103222250_MST_01F_258_1.',35.86,141.78,6,172,2.60155388584053,0.362870729086874,0.0851281954638833,0.0667042101649246,0.00306294842594041,54.2865916515931,5.18199375916553,0.354156625630825,0.0350475416078411,5.79739040380976,0.99937186419768,0.150647734704541,-0.137577758896872,6.23547026691224,0.694593858407791,0.131327057789387,1.90657769304099,0.976019329383836,10.0413372711635,1.19688527194625,0.153973194216107,0,0,0,0,0,0,0,0,0,38.11,95.58,48.91,103.11,69.29,109.04,28.7791216142326
,,35.8301,139.8722,,218,2980,7,SRC,'201103230003_MST_01F_258_1.',35.875,141.7633,5.8,170.5,1.45842142026531,0.207771201125416,0.0581392882867534,0.0137225421563603,0.00060962650739333,21.1918955265084,2.58073027374069,0.151875155237837,0.0149184632581867,3.45653612902111,0.568607580502886,0.0972418737235623,-0.211844643019746,2.95004553473391,0.380840823153454,0.0863235398528022,2.06784943658595,0.945695265438627,4.38207056764607,0.503932981977052,0.0690836276641375,0,0,0,0,0,0,0,0,0,42.68,75.12,47.7,75.15,45.55,75.44,14.9653958564598
,,35.8301,139.8722,,218,2980,7,SRC,'201103230112_MST_01F_258_1.',35.81,141.8367,5.4,177.1,1.32621477234778,0.236024297215629,0.0475875254593497,0.0169439152953841,0.000724395722886214,24.9533794211173,2.61085002943525,0.142513068662811,0.0163748372467873,4.64709163810622,0.82705202737434,0.135772345183841,-0.210001829150822,2.69258666984869,0.367723723270513,0.0641296296704289,1.99589966232513,0.9271540411104,4.44479712220929,0.559227833579217,0.079442005958064,0,0,0,0,0,0,0,0,0,38.32,73.04,41.79,71.34,43.92,72.75,18.8732850241712
,,35.8301,139.8722,,218,2980,7,SRC,'201103230712_MST_01F_258_1.',37.0833,140.7867,6,161.6,3.16238657203925,0.587520906555173,0.159481358057884,0.153208482739073,0.00881839406220216,99.5300131557201,6.48436816482686,0.418198236682519,0.0510683370890729,11.241530099276,1.86296481279993,0.287189019726587,-0.141418716205469,7.43948257926441,0.839646727787823,0.190186242082912,1.77042351307568,0.991263388528685,13.2515908149357,1.63273244601649,0.223755605530719,0,0,0,0,0,0,0,0,0,91.35,127.43,102.16,159.42,119.1,166,71.4251472357527
,,35.8301,139.8722,,218,2980,7,SRC,'201103230734_MST_01F_258_1.',37.0967,140.795,5.5,163.2,3.85917940564221,0.662492864635092,0.1209301130117,0.196561950848278,0.0115196049829763,119.638545839104,9.48376896718962,0.66761882693312,0.0544779307337656,12.7020369936162,2.10124432793512,0.378218544324799,-0.120124412540705,10.4773636703432,1.13503761458121,0.165692923439891,2.10020828511919,0.91671639095118,13.2651364897635,1.61082594388966,0.224312302399797,0,0,0,0,0,0,0,0,0,117.62,159.71,124.71,194.78,169.58,212.01,134.710211981191
,,35.8301,139.8722,,218,2980,7,SRC,'201103240543_MST_01F_258_1.',35.9583,141.2567,5.2,125.5,2.94069027560609,0.242870678097848,0.0445174550287689,0.0204687845383838,0.000346048282998347,23.9675649363836,4.03807031714688,0.306466553082162,0.0305316675898021,4.21363495401982,0.716804263855412,0.0970509013248649,-0.198046732085694,4.17709733372713,0.434895978552944,0.081261476478126,1.82316491897045,1.03730008015271,5.77405842995474,0.687920652876342,0.0847110067603765,0,0,0,0,0,0,0,0,0,21.2,53.41,28.23,61.53,31.61,68.99,14.7055951306009
,,35.8301,139.8722,,218,2980,7,SRC,'201103240856_MST_01F_258_1.',36.1767,140.0417,4.8,41.4,8.55820965706769,0.623592271184124,0.0917512016976691,0.0974720109054432,0.00118104606043759,46.1065133140698,11.5295315603137,0.94785607696544,0.107356987853649,16.1549688822222,2.05910610796806,0.239410751475479,0.131082235706821,18.4800213932763,1.54392503704904,0.181095367144862,1.63368614818224,1.30457993265696,14.3240756497733,1.53277644760631,0.173998675400644,0,0.0199999999999996,0,0,0,0,0,0,0,12.63,40.43,19.41,63.11,30.27,89.43,10.4784427638814
,,35.8301,139.8722,,218,2980,7,SRC,'201103241720_MST_01F_258_1.',39.0767,142.3567,6.2,422.4,2.00994444271558,0.342615735690983,0.0613245401319186,0.0357463749361886,0.00214254360149662,38.7643050147438,5.81413797582047,0.482204598172268,0.0559516123296417,6.66865355549192,1.17674556837005,0.205842720164074,-0.204371700488194,4.3534358842999,0.568763899323029,0.0853962058077268,1.62505887894489,0.900814127101345,8.10791540345286,1.0892294125378,0.155855868312465,0,0,0,0,0,0,0,0,0,37.95,83.07,48.13,92.17,77.52,105.68,21.7699672587776
,,35.8301,139.8722,,218,2980,7,SRC,'201103252036_MST_01F_258_1.',38.7283,142.1067,6.3,378.1,1.46183338079188,0.261785771858327,0.131411370658219,0.0271328054026506,0.00160289769571021,37.408894440698,4.11592694971856,0.341311636071073,0.0358402916367509,3.22272916847212,0.631770541923082,0.132553908337876,-0.209506494166305,3.27114985152971,0.509288619145961,0.134671431364811,1.6839378238342,0.782180834730549,4.47640090511786,0.629711907133201,0.0967885172986352,0,0,0,0,0,0,0,0,0,65.23,108.57,81.77,112.79,94.35,106.55,39.9737583683958
,,35.8301,139.8722,,218,2980,7,SRC,'201103280723_MST_01F_258_1.',38.3833,142.345,6.5,358.7,2.66164179881186,0.454157236382545,0.117985930548181,0.0924622926003667,0.0080695127386979,79.163715294702,11.116224020065,1.10387586269659,0.132515620622111,6.86348876240158,1.3786165129182,0.304695271730774,-0.173267376366551,6.12769422154203,0.732882519443697,0.146455081113171,1.44717800289436,0.750980333613452,10.6861973663469,1.65786298000381,0.273969930927776,0,0,0,0,0,0,0,0,0,74.9,125.05,97.83,145.61,130.34,157.85,63.9369738029471
,,35.8301,139.8722,,218,2980,7,SRC,'201103291954_MST_01F_258_1.',37.4083,142.4683,6.6,290.6,3.09600817642888,0.420297798337292,0.141308628729566,0.0847388762022847,0.00683907510671849,74.9950269803003,5.25577678820595,0.296980075460303,0.038557999309777,7.07859413963815,1.23737862459176,0.199048060633054,0.17930217037787,5.56197189840896,0.776175915531557,0.165805421199663,1.83605780620706,0.945053582553969,10.0060964074739,1.22854426085344,0.169357157767862,0,0,0,0,0,0,0,0,0,71.91,138.27,93.99,144.95,112.45,140.73,68.6719007955236
,,35.8301,139.8722,,218,2980,7,SRC,'201103302151_MST_01F_258_1.',35.4433,141.2267,5.3,129.7,2.27779646768043,0.299449013337678,0.0553391947358881,0.0250764918702657,0.000873388212166014,29.3094826216151,4.17502578747041,0.242587005329031,0.024095088994441,8.26459124879101,1.23762359826149,0.171138782627268,-0.188783348627761,6.05688222092402,0.697595135171343,0.0974910959091228,2.10443801254221,1.10400297837445,7.26904231720332,0.767312825650525,0.0948796128985559,0,0,0,0,0,0,0,0,0,32.24,69.28,35.1,79.67,44.22,86.99,22.1379326256574
,,35.8301,139.8722,,218,2980,7,SRC,'201104021655_MST_01F_258_1.',36.2067,139.9617,5,42.7,5.29034250496436,0.596553412194637,0.0695617862772829,0.082745005735624,0.00102680218206627,45.0751017530788,8.75208434329763,0.66940096209998,0.0523860804813124,12.239949076811,1.80955183084519,0.220620003100203,-0.128036212555651,12.6657135964553,1.10846184972237,0.152741877916805,2.02923387096774,1.17635983263598,11.4857031320551,1.21092128045064,0.136873176058294,0,0,0,0,0,0,0,0,0,14.93,42.76,24.96,67.7,42.93,87.31,14.5083593452386
,,35.8301,139.8722,,218,2980,7,SRC,'201104072332_MST_01F_258_1.',38.2033,141.92,7.2,320.4,15.292195724317,2.00230174404849,0.672078766640992,1.92084008449377,0.112250983944636,367.880313838932,40.4583823113705,1.97690196563966,0.138274983370797,38.0343754737449,7.01068044185242,1.27975522250306,1.91927508535259,30.1659568591492,3.76240175675375,0.871546476470444,2.72406733393995,0.85974635109098,42.6443522821678,5.17115523173649,0.706954938821981,0,51.63,23.19,5.39999999999999,5.34999999999998,5.505,1.51,0.445,0.1,51.57,130.28,95.88,173.68,130.44,197.03,96.3403581483545
,,35.8301,139.8722,,218,2980,7,SRC,'201104100623_MST_01F_258_1.',35.8033,140.0983,4.4,20.6,2.29082621067402,0.346657776854451,0.06212525384835,0.0129966952931719,0.000119931006386306,16.3761440956084,3.01373348656168,0.124798310161465,0.00822532914316171,6.31461898369143,0.872049899268034,0.122420312918124,-0.186871105166143,5.79227591463325,0.671075665211853,0.0936382405805191,2.99115456238361,1.13170829304581,5.38684404788732,0.524298308915574,0.0605417230347346,0,0,0,0,0,0,0,0,0,10.58,46.16,10.13,48.5,11.57,62.95,9.62138613926735
,,35.8301,139.8722,,218,2980,7,SRC,'201104111716_MST_01F_258_1.',36.945,140.6717,7,143.1,28.6062254558765,3.56711315366407,1.31679945899904,4.44635334504833,0.575326502904654,523.82057311034,46.3102582767183,2.26176017096767,0.149073807229614,59.0192985794618,10.1473890380547,1.8229224530815,4.3094743977424,76.366519187173,8.75053228029539,1.92542015777789,2.80379302271131,0.89711566675428,72.2456036271169,8.23083904036024,1.13923384747867,0,63.89,46.9,29.52,27.89,19.1,9.565,5.505,2.65,34.69,126.86,126.74,193.31,140.01,201.98,55.525455980662
,,35.8301,139.8722,,218,2980,7,SRC,'201104111726_MST_01F_258_1.',37.0617,140.6217,5.4,152.5,2.48953582009908,0.313756853777607,0.102981115664279,0.0304267412000875,0.00116220085433601,31.6003032014538,10.4414093975126,1.17010156302314,0.1428991106565,8.40536467828106,1.46220899583431,0.218506606708719,-0.178416216003085,4.92543614301878,0.690114177763346,0.144070591061521,1.35,0.976269563264426,9.9271148689202,1.40711181112373,0.190819586872121,0,0,0,0,0,0,0,0,0,25.45,64.52,47.92,84.35,71.8,92.91,16.5901882916869
,,35.8301,139.8722,,218,2980,7,SRC,'201104111805_MST_01F_258_1.',36.9883,140.73,5.1,149.9,3.07996398567399,0.251904420378017,0.0479763724803952,0.0355724559606315,0.00120767634129228,32.8897590220087,8.92584493969435,1.17714519424614,0.139091010106694,3.27734652515122,0.585602847111314,0.110517632156789,-0.170447404101299,7.80443454321691,0.699385467632228,0.0778751678749745,1.27233657543542,0.858682510946779,5.48258404438243,0.841525399939298,0.122441079060226,0,0,0,0,0,0,0,0,0,25.25,60.04,39,69.94,46.15,84.12,13.3861059466196
,,35.8301,139.8722,,218,2980,7,SRC,'201104112042_MST_01F_258_1.',36.965,140.6333,5.9,143.4,6.95312979167443,1.34624273149998,0.334344469840863,0.37039314198966,0.0161371589501812,131.940378065256,16.2824608019884,1.33287531405097,0.156846184457072,17.9733529861908,3.11660914046698,0.575313258344103,0.0362404441580068,16.3416758287599,1.95855606960445,0.478213154774541,1.60492406810861,0.888899690919949,21.6518457282295,2.85457300821901,0.424340357211016,0,0,0,0,0,0,0,0,0,35.18,80.37,49.93,134.82,111.67,154.09,38.5266914736515
,,35.8301,139.8722,,218,2980,7,SRC,'201104120808_MST_01F_258_1.',35.4817,140.8667,6.4,97.9,18.6575343646636,2.8717707596556,0.638321299681811,1.83280828318039,0.122586760914265,313.429435087029,48.7451883750287,3.56499340688864,0.291793338145652,47.3773449139858,8.50576145489613,1.4626263588669,0.546517954749514,67.027489741204,5.82160569779048,0.87120007576668,2.02429149797571,0.901221150528678,53.0040175787068,6.69534115271529,0.905546564296987,0,33.07,30.18,16.94,13.54,7.78,2.645,0.95,0.23,29.59,113.33,93.13,220.71,199.29,233.35,45.252193049117
,,35.8301,139.8722,,218,2980,7,SRC,'201104121407_MST_01F_258_1.',37.0517,140.6433,6.4,152.3,10.2114188238837,1.97434993636752,0.537279643449171,1.15774881299301,0.0670434197806872,244.609082733386,22.1713978310067,1.48207977544412,0.156103560460479,30.7483419556352,5.11611376573001,0.865663020628807,1.72583946803983,29.1604715990668,3.52743375955515,0.868880640346611,1.89711359404097,0.945743121742638,36.8608863102043,4.45525431766484,0.621637733595145,0,23.35,0.0900000000000034,0,0,2.67,0.105,0,0,34.78,83.33,45.75,134.23,111.15,168.76,40.2905157557012
